Name,Price,Sold,Reviews,Star1,Star2,Star3,Star4,Star5,Discount,Link,Original Price,Rating
"Logitech G203 2nd Gen Wired Gaming Mouse, 8,000 DPI, Rainbow Optical Effect LIGHTSYNC RGB, 6 Programmable Buttons, On-Board Memory, Screen Mapping, PC/Mac Computer and Laptop Compatible",9.00,1k+ sold,246,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,51,https://www.lazada.sg/products/logitech-g203-2nd-gen-wired-gaming-mouse-8000-dpi-rainbow-optical-effect-lightsync-rgb-6-programmable-buttons-on-board-memory-screen-mapping-pcmac-computer-and-laptop-compatible-i672156162.html,56.86,4.9
Leaven and Dark Alien Gaming Mouse With RGB,.90,136 sold,36,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,65,https://www.lazada.sg/products/leaven-and-dark-alien-gaming-mouse-with-rgb-i1651327532.html,10.62,4.9
Alcatroz X-Craft Classic Series 2400CPI Gaming Optical mouse with lighting effrcts,.90,144 sold,33,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB +5T4q,38,https://www.lazada.sg/products/alcatroz-x-craft-classic-series-2400cpi-gaming-optical-mouse-with-lighting-effrcts-i294558104.html,26.05,4.6
Logitech G102 Gaming Wired Mouse 200-8000dpi 6 Button Optical Mouse Compatible For Windows 7,.50,21 sold,5,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,35,https://www.lazada.sg/products/logitech-g102-gaming-wired-mouse-200-8000dpi-6-button-optical-mouse-compatible-for-windows-7-i2873725306.html,24.29,5
Logitech M330 Silent Wireless Mouse Optical Navigation Quiet Mice Computer Controller,.10,134 sold,45,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB i6t3-,35,https://www.lazada.sg/products/logitech-m330-silent-wireless-mouse-optical-navigation-quiet-mice-computer-controller-i2869025544.html,14.57,4.7
DQRGO [SG Stock] 3D USB Optical Wired/Wireless Gaming Mouse With 7 Colours Rainbow RGB LED Light & 1200 DPI Sensor Cool High Performance Gaming Ergonomic Mice for Computer Notebook Laptop Office PC Home,.10,55 sold,21,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,73,https://www.lazada.sg/products/dqrgo-sg-stock-3d-usb-optical-wiredwireless-gaming-mouse-with-7-colours-rainbow-rgb-led-light-1200-dpi-sensor-cool-high-performance-gaming-ergonomic-mice-for-computer-notebook-laptop-office-pc-home-i2317653717.html,9.73,4.9
Razer DeathAdder V2 X HyperSpeed - Wireless Ergonomic Gaming Mouse 雷蛇无线鼠标,9.90,738 sold,145,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,37,https://www.lazada.sg/products/razer-deathadder-v2-x-hyperspeed-wireless-ergonomic-gaming-mouse-i2055349765.html,161.89,5
2.4GH silent Mouse wireless Gaming Mouse mice Rechargeable mouse Gaming Mice Silent LED Wireless Mouse,.00,34 sold,5,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB fqfC4,_9-ogB W1iJ5,_9-ogB W1iJ5,027,https://www.lazada.sg/products/24gh-silent-mouse-wireless-gaming-mouse-mice-rechargeable-mouse-gaming-mice-silent-led-wireless-mouse-i2013977966.html,33.33,2.4
【SG Ready Stock】Dark Alien V600 RGB Gaming Mouse (Esports/Office/Home Use) Wired USB Mouse,6.00,33 sold,10,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,46,https://www.lazada.sg/products/sg-ready-stockdark-alien-v600-rgb-gaming-mouse-esportsofficehome-use-wired-usb-mouse-i2323529470.html,34.78,5
[SG] Wired Gaming Mouse w/6 buttons (Beehive LED) | 7200 DPI | Movement speed: 6000PS | Multi-function | TechToday,8.90,6 sold,,,,,,,35,https://www.lazada.sg/products/sg-wired-gaming-mouse-w6-buttons-beehive-led-7200-dpi-movement-speed-6000ps-multi-function-techtoday-i2072004701.html,54,No Reviews
Logitech G Pro X Superlight Wireless Gaming Mouse - Black / White / Magenta / Red,54.00,3k+ sold,744,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,36,https://www.lazada.sg/products/logitech-g-pro-x-superlight-wireless-gaming-mouse-black-white-magenta-red-i1422152990.html,427.78,5
[Free Gift] Razer Basilisk V3 Ergonomic Wired Gaming Mouse - RZ01-04000100-R3M1 (2Y),9.20,903 sold,251,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,37,https://www.lazada.sg/products/free-gift-razer-basilisk-v3-ergonomic-wired-gaming-mouse-rz01-04000100-r3m1-2y-i257130183.html,187.03,4.9
Razer Deathadder V2 Pro Gaming Mouse: 20K DPI Optical Sensor - HyperSpeed Wireless - Chroma RGB Lighting - 70 Hour Battery Life - Rubberized Side Grips - Classic Black,29.90,594 sold,144,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,35,https://www.lazada.sg/products/razer-deathadder-v2-pro-gaming-mouse-20k-dpi-optical-sensor-hyperspeed-wireless-chroma-rgb-lighting-70-hour-battery-life-rubberized-side-grips-classic-black-i1183574210.html,371.14,5
Razer Orochi V2 Wireless Gaming Mouse - Available in Black / White / Quartz,9.90,455 sold,108,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,43,https://www.lazada.sg/products/razer-orochi-v2-wireless-gaming-mouse-available-in-black-white-quartz-i1719032844.html,139.3,4.9
Razer Orochi V2 - Mobile Wireless Gaming Mouse with up to 950 Hours of Battery Life 雷蛇无线鼠标,9.90,441 sold,92,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,42,https://www.lazada.sg/products/razer-orochi-v2-mobile-wireless-gaming-mouse-with-up-to-950-hours-of-battery-life-i1717429463.html,166.43,4.9
Logitech G502 Hero Gaming Mouse (Buy 1 Get 1 Free),14.00,1k+ sold,350,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,56,https://www.lazada.sg/products/logitech-g502-hero-gaming-mouse-buy-1-get-1-free-i282555456.html,203.57,5
"Logitech G304 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac",9.00,3k+ sold,721,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,38,https://www.lazada.sg/products/logitech-g304-lightspeed-wireless-gaming-mouse-hero-12k-sensor-12000-dpi-lightweight-6-programmable-buttons-250h-battery-life-on-board-memory-pcmac-i253418348.html,128.95,5
Logitech G604 LIGHTSPEED Wireless Gaming Mouse,4.05,205 sold,43,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB K8PID,37,https://www.lazada.sg/products/logitech-g604-lightspeed-wireless-gaming-mouse-i622786194.html,254.19,4.8
Logitech G502 X Wired Gaming Mouse - Available in Black & White,9.00,132 sold,39,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,26,https://www.lazada.sg/products/logitech-g502-x-wired-gaming-mouse-available-in-black-white-i2462599766.html,342.31,5
Logitech G203 LIGHTSYNC RGB 6 Button Gaming Mouse,2.90,587 sold,136,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB Dy1nx,_9-ogB JhD+v,44,https://www.lazada.sg/products/logitech-g203-lightsync-rgb-6-button-gaming-mouse-i653124761.html,74.77,4.9
